country,title,university,url,members,summary
Turkey,studentjob,Duzce University,https://www.atositchallenge.net/idea/studentjob/,Oguzhan Cevik | Emre Orucoglu | Mustafa Guzel,"It is a platform for university students to find hourly and daily jobs.

The application is entirely for students.

It is a platform for students to find daily work.

Application can be registered only by student mail account.

Those looking for a daily staff will easily meet their staff needs.

Students will be assessed for their time when they are idle.

Having lots of business opportunities will be a convenience for the students.

There will be additional income for students."
China,Virtual screening of prodrugs,Nanjing University Of Posts And Telecommunications,https://www.atositchallenge.net/idea/virtual-screening-of-prodrugs/,Wenyong Zhu | Guwei Sun | Jingzhou Yuan,"With the rapid development of life sciences at the end of the last century, the completion of the Human Genome Project (HGP) and the implementation of the follow-up functional genomics program, drug research and medical drug industry have entered a new historical period.

As we all know, the development of new drugs is a high-input, inefficient work. With the rapid development of computer chemistry and biology in the 21st century, virtual drug screening technology has become an important branch of drug chemistry development. However, the establishment of a reasonable pharmacophore model to accurately determine or predict the molecular structure of the target protein, accurate and rapid calculation of candidate compounds and target interaction between the free energy change is the key to virtual drug screening, but also to limit the accuracy of virtual screening bottleneck.

Virtual screening techniques can be divided into two types based on the receptor biomacromolecule structure and the ligand-based small molecule. Virtual screening often requires good predictive performance in practical drug design commercial applications. There are a large number of virtual screening methods based on machine learning, which are used to extract the characteristics of compound molecules, such as various molecular fingerprints and molecular descriptors, and use Bayesian statistical methods, nearest neighbor methods, support vector machines and artificial neural Network and other machine learning methods for compound molecules for high-throughput virtual screening. In particular, in recent years, in-depth learning methods have been successfully applied to the study of ligand-based drug virtual screening and molecular fingerprint generation, and show better predictive performance.

Based on the virtual learning method of machine learning, the general practice is to use software to obtain fixed-length compound characteristics, including molecular fingerprints and molecular descriptors, and then call the machine learning method to build the model. However, the manual extraction of these general methods is usually associated with a semantics that is immutable and independent of the corresponding drug target and its activity activity, which can not compensate for the characteristics of manual extraction and the activity values ​​acting on different drug targets The gap. At present, molecular fingerprints with good properties are usually larger in virtual screening based on ligand activity. The Therefore, in today's actual virtual drug screening, an urgent need to be able to get relatively short, better performance of the molecular fingerprint generation method"
Singapore,AudIO,National University of Singapore,https://www.atositchallenge.net/idea/audio/,Kai Hsien Boo | Yip Keng Kan,"People from a non-English speaking country such as China, Japan and India often find it difficult to communicate in English due to the mispronunciation of words. Although resources to the correct pronunciation exist, people hardly recognise their mistake and have no way to measure the accuracy of the way they speak objectively.

Then comes AudIO. AudIO is an intelligent smartphone application that is specially developed to enhance user's pronunciation. It listens to a short speech and analyses the accuracy of the pronunciation. It highlights the mispronounced words or syllables and provides a comparison to the user. Thus, users can learn from their mistake and correct it accordingly."
Singapore,HR FriendBot,National University of Singapore,https://www.atositchallenge.net/idea/hr-friendbot/,Say Xian Xun | Yeo York Hao,"Allows effective triage and suitability of personality fit for job. to facilitate hiring processes in a company. 
This bot minimises unconscious human biasness by providing another decision making tool to complement the current hiring methods,  for which the old adage ""first impression"" becomes only part of the decision matrix.
Furthermore, this allows a more personal level of personality screening before and during the hire, compared to current general personality tests.
This bot will is so widely applicable because every company needs to hire, and to screen candidates.

In conclusion,  do you want to work in a work space with people of compatible personalities? "
India,Smart Travel Alarm-An iOS app,anna university chennai,https://www.atositchallenge.net/idea/smart-travel-alarm-an-ios-app/,harini dhanasekar | srisai tejaswi | Sowmiya Jayavel,"In this modern world Smartphones and Tablets are
need for every group from Children, teens, Parents, Business
executives, Professionals to old age people. With this techy
gadgets, location based applications are widely used as it makes
life very easier, faster and keeps track of our near and dear ones
as well as our business associates. The SMART Travel Alarm is
designed to provide high tech services to users based on the
information of their current geographic locations. Some of these
services include “Reached to destination alarm”, Email someone
on reaching the destination etc. In this paper we illustrates the
development of SMART Travel Alarm - a iOS application based
on Sencha 2.2 framework using Google Web Services to offer
multiple services to the users on the move. The developed iOS
app works perfectly fine on major smartphones and tablets
running on popular operating systems like iOS, Android,
Windows and Blackberry."
India,Smart Health Project,Dr. A.P.J. Abdul Kalam Technical University,https://www.atositchallenge.net/idea/smart-health-project/,Shubham Chauhan | Vineet Kumar | Manish Arya,"Many Patient in India die due to lack of proper records/medical History. whenever a patient do not get relief from one doctor they
change medical expert but patient is unable to produce exact problem or medical decision taken by previous doctor.
Our system not only records reports but also drugs, their frequency and regular checkup. it also detects for any break in course..
The records can be used for decision support .As if one report is observed by multiple experts there consultancy is recorded and the
majority can be used to decide for prediction if some new case comes. so with in years it is possible to create a intelligent system
which can make naive practitioner to take decisions..
This a new approach in the area of health bioinformatics by combining the most prevalent internet technologies, Artificial Intelligence
algorithms and their combined effect applied to medical practitioners as there is no such solution available for most populous country
such as India.
The main objective of this proposal is to develop a hierarchical decision support system based upon the present and
medical history of patient in emergency or chronic diseases where it becomes difficult to keep records by patient or where
several doctors need to be concerned. Even though many researchers were worked on IOT and SCADA , very few
researchers were reported its use in Medical Science."
Kong,Intelligent Hotel Chat-bot,Hong Kong University of Science and Technology,https://www.atositchallenge.net/idea/intelligent-hotel-chat-bot/,Yao-Chieh Hu | Kung-Hsiang Huang | YiMeng Sun | Ting-ting Lee,"The software is successfully completed for the first stage:               https://github.com/HotelChatbot/ChatBot_for_Hotel              

Summary:              

The software product we are building provides users, namely guests of the hotel, with basic room services as well as inquiries and information functions as the system diagram is shown. It stays idle unless the user presses the button to activate it.              

The entire system is built upon Node.js, a Javascript framework for setting up a lightweight and efficient server, along with Express.js and MongoDB. User can directly interact with Jibi by speaking to it in an intuitive way. The following paragraph will illustrates some of the key functions of the system.              

General room services will be provided if asked. For example, if a user asks 'Jibi' to clean the room, it will notify the staffs and set up a clean-up timeslot. It can also set up a morning call and wake up the user at desired time.              

Also, the user might encounter questions during the stay. In this situation, instead of ringing the phone and ask for staffs’ help, Jibi will take up the staff's responsibility and answer the questions including hotel and its facilities, (e.g. where can I find the gym? ), personal information like check-out date and personal itinerary details.              

During the stay in the hotel, the user might also want to ask about places to eat. In this case, Jibi will help the user with searching nearby restaurants that suit the user's own taste. Traveling information can also be provided once asked. Tourist attractions information is recorded and can help the user find places to visit.              

The scope of this report covers detailed description on the objectives of the project, as well as development tools and platforms used for building Jibi. It will list out all the hardwares and the softwares that are required during the development process and their interfacing with the system. The interfacing between Jibi and its users as well will be elaborated in this document. The functional requirements in which the desired functions and behaviors of the system will also be illustrated, followed by introduction to Jibi’s non-functional aspects that assess the system by certain parameters that ensure the system’s validity and good performance."
France,Mako,ENSEIRB-MATMECA,https://www.atositchallenge.net/idea/mako/,Elise Marie | Robin Proquot,
India,Packup,International Institute of Information Technology Bangalore,https://www.atositchallenge.net/idea/packup/,Amitabh Tiwari | Vinayak Ghatul | Akash Shendge,"    Packup is a RESTful Server acting as data end point for Amazon's Alexa (Echo) or a Chat Bot which in turn serves  as a Trip Advisor. 

    It basically eases out the headache associated with planning trips wherein you would have to search several websites for railways, flights or buses especially when you have a mobile handset in your hand. It’s like personal digital assistant to whom you can talk to anytime, anywhere and it will be ready to help you out.

    It is unique because of the wide range of services it provides under one hood ranging from flight queries like cheapest flight to whole range of flights of a specific airline flying on any route TO railways queries like PNR status, Live Trian Status, Seat Availability, Train Route details, all the trains running on a specified route, Checking for whether your train is cancelled/rescheduled today, If yes then to what date and time, so on. Now comes buses which are really vital when it comes to travelling on short-trips and it becomes difficult to enquire about them anywhere, you will be amazed by the rich data it provides in terms of buses. Also it helps you to explore the tourist location by giving out list of well-known places to Worship, Eat,enjoy Natural beauties,airport,railway station,amusement park,hospital etc.

Also  it helps you booking lodging and boarding places, Local cultural meetups/events,theaters etc. 
It also acts as a money manager by providing services like expense analyzer,ATM locator,split wise services etc.
It can acts as a translator as well helping you to communicate with non-native english speakers or understanding written information in a local language.
It also acts as travel assistant for visually impaired people.
It  also gives alerts to users via Chatbot/Alexa in case there is a drop in price of tickets for the queried route.
"
India,Personal Assistant,University of Petroleum and Energy Studies,https://www.atositchallenge.net/idea/personal-assistant/,Ritwik sharma | Riya .,"Personal asssistant is an android application based on artificial intelligence.
It can work as a personal assistant for a user and will be able to help them in day to day life

A personal assistant is a software agent that can perform tasks or services for an individual.

Personal assistants use Artificial Intelligence to match user text or voice input to executable commands. It can provide a wide variety of services, These includes:

set reminders and notify about them,  change homescreen wallpaper, Weather forecast of any place,  Switch lights and fans on and off, Operate electronic gadgets like toasters, microwaves, electric geysers, etc, Play multimedia files such as audio songs and video songs, Open Applications such as browsers, whatsapp, facebook, media player, dialer, contacts, gallery, settings,  camera, calendar, file explorer, gmail,  etc, Search anything on Google, Open websites of user’s choice, Search anything on Youtube, show maps for directions, Find Restaurants in an area, Check new emails and reply, forward emails."
States,SAV – The Future of Truth,University of Texas at Dallas,https://www.atositchallenge.net/idea/sav-the-future-of-truth/,Mohammed Sameer MohamedAli | Vinay Ramesh,"'SAV'  is  a software application that aims to introduce a new technology to improve the way we find, validate and share truth in the age of Information Communication Technology.
     A SAV test is designed to differentiate between authentic and fake users. Online and mobile app-based account fraud is an epidemic that is impacting companies and their users on a global scale. In many cases, the trouble begins when “bad actors” are able to register for accounts. With user bases considered a critical asset with an average value of $117 million, companies need to prevent these users from entering their ecosystem.
When an user account is not verified, the companies risk, allowing bad actors into their User Base. 82% of companies surveyed confirm fake users are a problem; 44% report them as a significant problem. Once fake users are registered, they can easily create more accounts and wreak havoc.Hence we are on a mission to save  the Internet ecosystem from fraud, fake users and machine designed to generated human like responses by helping to identify the truth with the aid of SAV."
India,Help You,anna university chennai,https://www.atositchallenge.net/idea/help-you/,Sailaja Pokkali | Varadhareddy Ashika | Vanganooru Roja | Dhanusha Ramesh,"We are in a place where we are very busy in our work life and we doesn't think of our basic necessity like in case we need some housing repairs such as Carpentry, Plumbing, Electronic repairs and also electrical services. All these services can be achieved by incorporating everything we need in one application called as HELP YOU.  Here in this application the necessary services  are to be selected which we want and we can book the nearby person who are available within few minutes based on the availability.  This application is very feasible and it doesn't require much of capital and we can create an opportunity are many men to do work and earn money in a easy way.  In order to make our life easier we prefer  doing things in the place we stay and we also think that we need good service with great quality, and here comes the technology which will make our life easier. This application development is now-a -days became as easy as anything and there are many emerging applications for our easier life and this is one of them."
India,PLACEMENT COMPANION,RMD Engineering College,https://www.atositchallenge.net/idea/placement-companion/,Aarthi Sivakumar | Somasekar B S | Blesslin Jeba Shiny Augastin | Sumaiya Banu A,"In  the  competitive world  choosing a career path  is a  very  challenging decision  their are various sources influencing our decisions and various factors must be considered to choose the best option . Thus we  like to apply the technological field of Artificial Intelligence to create a  career Counselor in the form of a CHAT BOTS.
There are two kinds of chatbots: scripted bots and A.I. bots. A scripted chatbot doesn’t carry even a glimpse of A.I., whereas A.I. bots are built on NLP and ML. They are based on the human capability of learning and absorbing information, but imbued with more efficiency.
We  use AI chatbots.
With A.I. chatbots, there are many more possibilities. As we get more comfortable with them, they become even more useful.
Rightclick.io is a good example of an independent A.I. chatbot. It uses A.I. to create a website in a chat interface. The chatbot had its own intelligence to decipher the query and come up with answers according to its own intelligence. "
Taiwan,Steeve,National Tsing Hua University,https://www.atositchallenge.net/idea/steeve/,Wen Bin Han | Chung Ting Tsai | Chia Fang Ho | Yi Lin Xie,"Every time we are going to find a job, the annoying thing is to scan a number of hiring posts, which really costs a lot of time. Besides, those jobs are not always fitting to users, or users are not satisfied. For interviewers, it also wastes their time to make sure those people who are not qualified or not. Therefore, here comes Steeve, the most efficient time saver. Users can not only save their time but also seek some suitable jobs according to their development experience and professional skills. Steeve also brings a lot of fantastic advantages to company,  and the innovative feature is to recommend eligible candidates directly from our database in a short time. With Steeve, people can make great use of trivial time. The future prospect of Steeve is to decrease the rate of unemployment in our society. So, let’s try it. You will have unforgettable experience."
Kingdom,EchoTradR,Lancaster University,https://www.atositchallenge.net/idea/echotradr/,Ben Goldsworthy | Luke Williams | José Carlos Simoes Cordeiro,"EchoTradR is an Amazon Alexa Skill that allows the user to manage their stock portfolio conversationally. You can just waltz in to a room and ask their personal assistant Alexa to update you on the state of your current investments. How's that stock you bought 1,000 shares in last night doing? She can also relay to you the prices of a given stock. Want to know how your competitors are doing? Alexa can sort it.

Alexa can even buy or sell a given stock; your wish is her command. All you need is the name of the stock and how much you want (and enough money to buy it). She'll handle the rest. You can be the Wolf of Wall Street in the comfort of your own living room.

She'll even help you keep up-to-date on the latest goings-on in the markets with a brief summary of the day's trading news and and when you want it. Breakfast and a boom; croissants and a crash."
India,Sensei,Pune university,https://www.atositchallenge.net/idea/sensei/,Kshitij Chaurasiya | Tanya Saroha | Ravi Raj | Varad Bhatnagar,"People’s obsession with fitness is not going to end anytime soon and with the alarming rise in levels of obesity in children across the world and diseases related to it, it is good to be a fitness conscious individual in today’s time.

But where do we start from? What regimen should I follow? What all should I eat to lose weight? How much water should I drink according to my body weight?

If you cannot find a certified fitness professional to answer your questions, fret not! Here is where Sensei will come to the rescue.
Sensei is a two-way interactive model built on Natural Language Processing and Machine Learning Algorithms which will answer all your queries regarding fitness and help you maintain a healthier lifestyle devoid of life-threatening diseases and malnutrition. All responses of the chatbot will personalised, which will give you intelligent answers and suggestions based on your body type and body routine.

So the next time you have trouble deciding if you should eat that sumptuous ice cream and jalebis or not , try Sensei !
"
France,Dryad,Jean Rostand,https://www.atositchallenge.net/idea/dryad/,Gwendael DEMAMETZ | Valentin WIMETZ,"Dryad is a customizable Artificial Intelligence, utilized both for personal and commercial uses as a smart learning ChatBot. It can adapt to various situations with  its ever expanding knowledge and experiences and can either be an empathic companion with emotions or a smart assistant with strong logic. Its uses are various, ranging from disabled people  helper to a company customer service bot thanks to  its ability to recognize complicated sentences either vocally or written and to answer based on experience and context while learning patterns and users preferences. Adaptable to various platform, being available as a physical device using a raspberry pi or a virutal intelligence through a server, it is very portable so it can always be there when needed and is able to connect to various social networks platform to handle customer service, technical assistance or more complex needs like conversational games or data analysis. It will always stay up to date with the world data like the news or the weather to give a personalized output or a simple reading of your environment to keep you updated."
France,CyberBot,ESISAR Grenoble-inp,https://www.atositchallenge.net/idea/cyberbot/,Loïc BRUN | Hugo Picavez | Francois Sauger,"CyberBot is designed for anybody interested in Cyber Security. Thanks to it you will discover or improve your knowledge of ethical hacking and much more.
CyberBot can also help you to raise awareness in Cyber Security to your friends and co-workers . It will provide you each week some news with explanation.
CyberBot is the bot you need if you are interest in Cyber Security"
Turkey,DeepTalk,Bilkent University,https://www.atositchallenge.net/idea/deeptalk/,Ayşe Kübra Taş | Turac Abbaszade,"DeepTalk provides users deep conversations that would lead into  the knowledge of the self. In other words , DeepTalk  users  are aimed to be  those who are  more conscious about themselves and  those who are aware of  their behaviors  and  their relationships with others.  This is actually final aim of DeepTalk but at the beginning,  speech and sharing needs of  people  can  be met.  As we all know,  today, the conversation between people are very  very superficial. People are not really talking about the real personal issues that  is resulted in  applying to a psychologist.  In a way, DeepTalk  is  undertaking the position of a psychologist but the project should not claim that DeepTalk is achieving the same thing with the psychologists. The  claim of DeepTalk is only providing deep conversations that is enable users to understand themselves better or we can say that, after now, nobody is alone, everyone has a confidant! At the background, however, some psychology techniques will be used.  These are mainly basic listening and schema therapy techniques. "
Senegal,Information service on available opportunities,UCAD,https://www.atositchallenge.net/idea/information-service-on-available-opportunities/,Amadou Diallo | Serigne Diagne | Jean Noel Ndiaye | Woly Sarr,"Information service on available opportunities according to your profile makes it possible for its users to look for available offer on the market.  Users  communicate with him to find out about training courses, competitions, job offers, internships, scholarship etc. The app will be designed and built with Android's native language and the Android studio framework.
It would  request/store data to and from a Server distant. One versions will be released which all  available use case . "
China,BEAUTIFUL SLIECE,Nanjing University Of Posts And Telecommunications,https://www.atositchallenge.net/idea/beautiful-sliece/,Zhang Jian | Huo YouLiang | Ran JunYao,"Citing the World Federation of the Deaf (WFD) data, there are about 70 million deaf-mutes in the world, which is more than 1% of the world's total population. As a special group in society, deaf-mutes often rely on sign language to communicate and learn knowledge due to their own hearing impairment. 
At present, the most common way to learn sign language is to learn from lexicon teachers in special schools with the contents of sign language teaching materials. However, since the number of sign language teachers is far less than the number of deaf students, it is difficult for teachers to ensure teaching quality for each student. This shortage of educational resources is especially evident in underdeveloped areas. If an efficient sign language learning APP is set up to assist teachers in teaching and tailoring sign language learning programs to each and every student and to track the their learning quality so as to give consideration to everyone, it is a powerful weapon to the shortage of education resources. At present, there is currently a small amount of software for sign language learning on the market, and various problems exist in existing software. One of the most prominent problems is that existing sign language learning software can only display the hand movements, while neglecting the facial expressions and torso movements. It is the facial expressions and torso movements that play a key role in the expression of sign language emotion information. In addition, most sign language learning software is in the form of still pictures, teaching by tracing gestures which has poor user friendliness and difficult to learn sign language. To overcome the above shortcomings, the project will simulate human facial expressions and trunk movements for different scenes through the method of sentiment analysis. Combining with the hand movements, the project will eventually be presented in the form of animation to make the sign language expression approach the real effect. 
To sum up, this project intends to design a set of personalized deaf and mute teaching system, which consists of two parts: sign language teaching and speech-sign language translation."
